Name,Measure,Measure Info,Geo Place Name,Time Period,Data Value
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2009,22.19
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2010,21.01
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2011,21.47
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2012,19.41
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2013,18.71
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2014,18.93
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2015,18.51
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2016,17.65
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2017,17.85
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2018,17.18
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2019,15.66
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2020,14.82
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2021,15.46
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2009,33.89
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2010,30.58
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2011,30.96
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2012,28.74
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2013,28.02
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2014,26.7
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2015,25.18
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2016,24.35
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2017,24.55
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2018,23.43
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2019,21.71
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2020,20.54
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,Annual Average 2021,19.97
